"number","title","pageid","namespace","length","touched"
"233","Jumping_Frenchmen_of_Maine","1045918","","8440","20180312122830"
"234","Reciprocity_(cultural_anthropology)","1046243","","14770","20180225070314"
"235","Sociocultural_anthropology","1058631","","3731","20180228123654"
"236","Counterword","1060739","","2009","20180322102359"
"237","Susto","1071971","","3049","20180223124514"
"238","World_community","1072404","","5074","20180228123707"
"239","Miscarriage_of_justice","1080015","","26070","20180318035743"
"240","Encyclopædia_Iranica","1081351","","8531","20180318113856"
"241","Cheli","1087956","","1092","20171220190244"
"242","Dahomey_Amazons","1091420","","13012","20180309060554"
"243","Muscle_dysmorphia","1095712","","19889","20180311112952"
"244","Medium_of_instruction","1098651","","26647","20180314002829"
"245","Seven_Liberal_Arts","1112898","","85","20180319105745"
"246","The_Philosophers'_Football_Match","1136841","","8676","20180314002830"
"247","Hiroki_Azuma","1139037","","6912","20180323002926"
"248","History_of_the_chair","1139545","","20016","20180323001204"
"249","Professional_school","1166248","","1239","20180315014336"
"250","Icelandic_Elf_School","1176785","","7489","20180303192213"
"251","Tripartite_language","1192640","","3366","20180215135625"
"252","History_of_modern_Western_subcultures","1197362","","32207","20180303192214"
"253","Cultural_diplomacy","1204525","","40159","20180318024435"
"254","Universal_language","1214877","","9468","20180323000007"
"255","Jewish_studies","1230430","","56304","20180325152909"
"256","Culture_and_Anarchy","1234843","","3443","20180228123945"
"257","Syntagma_(linguistics)","1244283","","2117","20180314133340"
"258","Day-tripper","1245575","","2616","20180228123955"
"259","Material_culture","1257710","","20235","20180302074811"
"260","Hidden_curriculum","1262528","","15708","20180316223029"
"261","Taijin_kyofusho","1270984","","13517","20180323171141"
"262","Meta-reference","1299072","","13329","20180307140315"
"263","Performance_studies","1317694","","17986","20180217150117"
"264","Exonym_and_endonym","1323496","","27559","20180314133342"
"265","Student_syndrome","1330819","","1677","20180303234103"
"266","Cato_Maior_de_Senectute","1354651","","3165","20180316141437"
"267","Cognitive_liberty","1364686","","19844","20180303192222"
"268","Masterpieces_of_the_Oral_and_Intangible_Heritage_of_Humanity","1368885","","16737","20180314002832"
"269","Missionary_kid","1375891","","11260","20180314002832"
"270","Scottish_cringe","1381522","","2522","20180303192223"
"271","Arts_council","1391177","","6643","20180306075355"
"272","Travel_literature","1393859","","33072","20180322035942"
"273","Dhat_syndrome","1404586","","6909","20180322195132"
"274","Quarrel_of_the_Ancients_and_the_Moderns","1410488","","9098","20180314133343"
"275","Culture_of_capitalism","1414921","","4785","20180305205053"
"276","Home_exchange","1415513","","10154","20180321035758"
"277","Afterword","1419427","","1237","20180303234103"
"278","Hysteron_proteron","1430935","","2749","20180314133343"
"279","Seven_virtues","1439959","","7325","20180321212315"
"280","Cultural_determinism","1452924","","3882","20180304040459"
"281","Clip_show","1460069","","12585","20180321155936"
"282","Usog","1465002","","8340","20180303192227"
"283","Destination_management","1465212","","1635","20180319171900"
"284","Scrupulosity","1490408","","14828","20180325011213"
"285","Consciousness_raising","1493174","","13917","20180228124356"
"286","Romance_studies","1495838","","3109","20180316141446"
"287","Myth_of_redemptive_violence","1499717","","8848","20180228124401"
"288","Cultural_capital","1502499","","30642","20180315135825"
"289","Cultural_critic","1509154","","3875","20180228124409"
"290","Three_Treasures_(Taoism)","1515577","","10401","20180321055637"
"291","Prologue","1523896","","7559","20180228124420"
"292","Middlebrow","1525262","","15492","20180314002834"
"293","Purple_prose","1528526","","4972","20180317165612"
"294","Culture_of_fear","1545612","","17693","20180303192230"
"295","Spirit_of_place","1546216","","6779","20180312175834"
"296","Exercise_bulimia","1569145","","2596","20180228124455"
"297","Shilpakala_Academy","1580045","","4772","20180314133345"
"298","Visual_culture","1600443","","15686","20180228124520"
"299","Couvade_syndrome","1618050","","7827","20180303191926"
"300","Event_videography","1647073","","1643","20180228124603"
"301","Harifian","1656389","","3378","20180314002835"
"302","Circus_Kaput","1668091","","2080","20171223103523"
"303","Course_credit","1672354","","10058","20180228124626"
"304","Shame_society","1681363","","5116","20180321212316"
"305","Guilt_society","1681425","","5203","20180315204839"
"306","Good_old_days","1682633","","2200","20180308205407"
"307","National_curriculum","1684304","","2623","20180314002835"
"308","Goldfish_swallowing","1694883","","1252","20180313211757"
"309","Handschu_agreement","1725625","","11436","20180303192237"
"310","Gifford's_Circus","1739533","","4172","20180322102359"
"311","Risk_society","1742287","","9025","20180319015557"
"312","Crescent_Arts_Centre","1743600","","2591","20180217150252"
"313","Chinese_patriarchy","1756707","","17969","20180306002100"
"314","Intercultural_communication_principles","1765673","","9162","20180228124746"
"315","Topophilia","1767918","","3763","20180217150257"
"316","Heritage_Council_(Ireland)","1779845","","3359","20180314133349"
"317","Billy_Yank","1782101","","3085","20180228124800"
"318","Dynamic_packaging","1791536","","6956","20180217150303"
"319","Clothing_terminology","1831756","","9812","20180305161754"
"320","Eight_Masters_of_Nanjing","1838264","","1594","20180213203427"
"321","Anti-romance","1840675","","1009","20180228124850"
"322","Film_adaptation","1851712","","27934","20180319220203"
"323","Occidentalism","1852708","","6495","20180325161401"
"324","Pivot_language","1854841","","5745","20180222071430"
"325","Three_Treasures_(traditional_Chinese_medicine)","1857229","","6051","20180321055637"
"326","Grande_sonnerie","1857871","","2871","20180228124904"
"327","Monkey_see,_monkey_do","1872714","","2504","20180305165053"
"328","Godiva's_Hymn","1877526","","4555","20180217150325"
"329","Visual_Artists_Rights_Act","1883086","","7455","20180303192244"
"330","Pureland_origami","1887506","","1019","20180228124927"
"331","It_was_a_dark_and_stormy_night","1888307","","10733","20180321130954"
"332","Social_Venture_Network","1928114","","6697","20180314002838"
"333","Anagnorisis","1937861","","7486","20180314133350"
"334","Plot_point","1942806","","1455","20180303192246"
"335","Cambridge_Ritualists","1953067","","2208","20180228125018"
"336","Dramatization","1967467","","429","20180222080455"
"337","Syllabus","1977285","","5661","20180307131655"
"338","Predetermined_motion_time_system","1977946","","14593","20180320164624"
"339","Eranos","1979707","","7017","20180314002838"
"340","Coolhunting","1980549","","6478","20180228125040"
"341","Cultural_appropriation","1982394","","85704","20180325002731"
"342","Corelative","2008422","","1683","20130827101310"
"343","Cognitive_apprenticeship","2012209","","13325","20180305093853"
"344","Hwabyeong","2018345","","9358","20180314133351"
"345","Cultural_lag","2036118","","3703","20180205074946"
"346","Heritage_centre","2066697","","1341","20180217150406"
"347","Seven_Natural_Wonders","2071938","","2830","20180228125145"
"348","Paraliterature","2110568","","1207","20180316141518"
"349","Medieval_Scenarios_and_Recreations","2138486","","2357","20180312112311"
"350","Phoenix_Foundation","2142607","","4425","20180323074139"
"351","Shell_money","2145251","","14122","20180325161401"
"352","Ten_plagues_of_Egypt","2145894","","132","20180320231213"
"353","Four_Symbols_(China)","2148941","","4629","20180322045204"
"354","Flashing_arrow","2167095","","2827","20180228125250"
"355","Rolling_globe","2203857","","447","20180228125320"
"356","Historical_language","2207203","","3009","20180228125323"
"357","Number_8,_Pershore","2215086","","1030","20180204170154"
"358","Mahjong_culture","2231603","","1529","20171225204606"
"359","Culture_of_Togo","2233449","","1964","20180316035737"
"360","Narrative_paradigm","2234191","","34282","20180303192259"
"361","Epilogue","2234574","","5771","20180325132102"
"362","Manasa,_vacha,_karmana","2238353","","758","20180228125349"
"363","Asian_studies","2256463","","3089","20180318205314"
"364","Symbolic_anthropology","2289081","","2291","20180228125428"
"365","Culture-bound_syndrome","2305178","","18336","20180323002926"
"366","Heritage_Open_Days","2306348","","2241","20180304142625"
"367","Sons_of_Norway","2306465","","10773","20180312112312"
"368","Suudu","2310443","","1132","20171218234400"
"369","Culture_minister","2313874","","5086","20180325104234"
"370","German_studies","2318626","","17918","20180316141525"
"371","Irish_Folklore_Commission","2329753","","1634","20180228125458"
"372","CouchSurfing","2354564","","23042","20180317081616"
"373","Cooling_board","2379843","","2048","20180217150512"
"374","Childhood_secret_club","2390192","","5029","20180228125544"
"375","Wolf-whistling","2405887","","2946","20180321191927"
"376","Cultural_cringe","2435562","","18784","20180314002843"
"377","International_Clown_Hall_of_Fame","2455449","","3406","20180303192309"
"378","Waltham_Land_Trust","2483056","","611","20180204170250"
"379","Five_elements_(Japanese_philosophy)","2486862","","5918","20180321212323"
"380","Applied_folklore","2487003","","3098","20180228125651"
"381","Low_culture","2490371","","3767","20180220145658"
"382","Non_sequitur_(literary_device)","2493388","","2677","20180325131011"
"383","E._Peterbus_Unum","2493803","","5075","20180322025019"
"384","Human_dartboard","2499378","","900","20171226175617"
"385","American-Born_Confused_Desi","2511603","","6539","20180323002926"
"386","Showman","2544948","","3105","20180316141536"
"387","Wayzgoose","2570640","","10300","20180303192313"
"388","International_Day_of_the_Disappeared","2585344","","6013","20180312123149"
"389","Bereavement_in_Judaism","2587694","","61927","20180314133400"
"390","Avunculate","2604638","","11844","20180318212257"
"391","Parley","2614013","","3142","20180309152551"
"392","Article_(publishing)","2633667","","7311","20180310175649"
"393","Postliterate_society","2649044","","3224","20180311161115"
"394","Reverse_chronology","2653043","","15561","20180303192315"
"395","Culture_speculation","2655045","","704","20180228125851"
"396","Digital_anthropology","2660477","","12354","20180305211534"
"397","Domestication_theory","2666148","","6269","20180317065532"
"398","Modern_language","2672429","","12612","20180321174944"
"399","Money-rich,_time-poor","2674316","","1372","20180316123446"
"400","Cultural_psychology","2700105","","46754","20180321212324"
"401","Nonlinear_narrative","2711130","","26751","20180322163540"
"402","Patrilocal_residence","2716387","","7337","20180308211407"
"403","Roman_ladders","2726774","","498","20180211204838"
"404","Social_criticism","2744606","","6353","20180228125950"
"405","Event_(philosophy)","2770842","","10074","20180316141545"
"406","Clay-body","2784571","","1194","20180228130008"
"407","Ethnogenesis","2792751","","18216","20180314133401"
"408","Wolf_ticket_(Russia)","2796354","","1637","20180318113910"
"409","Shabda","2800790","","5544","20180314133401"
"410","Stephen_Bayley","2811477","","7723","20180316141547"
"411","Personifications_of_Russia","2813951","","6354","20180314133401"
"412","Union_of_Councils_for_Soviet_Jews","2832809","","14585","20180314002848"
"413","Tombstone_tourist","2862649","","5531","20180228130101"
"414","Petty_tyranny","2880062","","2499","20180228130113"
"415","Preventive_detention","2896261","","14758","20180303192322"
"416","Hebrew_school","2899790","","8269","20180217150642"
"417","Beauf","2901146","","1225","20180228130130"
"418","Character_arc","2910007","","13456","20180306193629"
"419","Serial_(publishing)","2920595","","2082","20180228130146"
"420","Piblokto","2991026","","9517","20180323214838"
"421","School_holiday","3002069","","42842","20180316063740"
"422","Children's_literature_criticism","3007465","","8774","20180218024729"
"423","Perch_(equilibristic)","3008336","","2694","20180228130244"
"424","High-context_and_low-context_cultures","3039067","","15135","20180323002926"
"425","Plural_society","3050350","","7180","20180313035854"
"426","Paratext","3053620","","3511","20180312180420"
"427","Silent_service_code","3066287","","1002","20180228130322"
"428","Cicerone","3070373","","1704","20180303192327"
"429","Humanitarian_intervention","3084283","","50612","20180314002850"
"430","Chanunpa","3095730","","2057","20180228130343"
"431","Celebratory_gunfire","3095897","","27721","20180311071505"
"432","Had_I_but_known","3106522","","3465","20180318203450"
"433","Traditions_of_the_United_States_Senate","3121816","","9004","20180323141757"
"434","Blue_rinse","3137756","","1472","20180228130413"
"435","American_Temperance_Union","3167929","","1770","20180217150730"
"436","Global_nomad","3172747","","4920","20180228130436"
"437","Opsophagos","3188061","","1562","20180217150733"
"438","Leaving_the_nest","3189536","","1961","20180227173444"
"439","High_Commissioner_on_National_Minorities","3208711","","24284","20180225201029"
"440","Lèine_bhàn","3212938","","663","20180303155151"
"441","Volksgeist","3264134","","223","20180322163431"
"442","Cultural_rights","3298492","","5757","20180303234107"
"443","Kaross","3327596","","1205","20180314133405"
"444","Naturalistic_disease_theories","3330262","","1236","20180306014843"
"445","Worcester_Center_for_Crafts","3330610","","695","20180204170540"
"446","Albert_Lucas_(juggler)","3360349","","8693","20180303192337"
"447","The_Four_Companions","3392828","","1588","20180314140613"
"448","Qaum","3402906","","1937","20180314133406"
"449","Acknowledgment_(creative_arts_and_sciences)","3410311","","4643","20180217150806"
"450","Psychological_thriller","3420992","","24181","20180324183220"
"451","Ranked_society","3424567","","1130","20180325030748"
"452","Scene_(drama)","3446046","","1287","20180227173519"
"453","Shooting_script","3450523","","5644","20180228130752"
"454","Dialogue_in_writing","3451484","","2326","20180217150813"
"455","Fiction_writing","3480573","","11903","20180311013350"
"456","Cultural_encoding","3495591","","703","20180228130825"
"457","Body_swap","3516048","","7846","20180324183220"
"458","Scottish_folklore","3516959","","806","20180217150824"
"459","Nathans_Circus","3518982","","2580","20180312123321"
"460","The_American_Monomyth","3520025","","2193","20180228130843"
"461","Artist-in-residence","3547336","","9918","20180301123513"
"462","Show,_don't_tell","3552803","","8058","20180314183745"
"463","Hybridity","3559307","","27750","20180318051430"
"464","Setting_(narrative)","3564116","","3343","20180217150831"
"465","Community_arts","3574096","","9904","20180217150832"
"466","House_sitting","3587445","","7775","20180303192345"
"467","Buffy_studies","3598003","","28010","20180314002856"
"468","Aesthetic_relativism","3603659","","2897","20180228130946"
"469","Tambor_(dance)","3612441","","365","20180305064040"
"470","Death,_Desire_and_Loss_in_Western_Culture","3666241","","830","20180228131034"
"471","Culture_of_Grenada","3689246","","3844","20180314002857"
"472","Persian_studies","3699777","","9623","20180217150851"
"473","Twelve_Knights_of_the_Round_Table","3754489","","120","20180315183627"
"474","Social_role_valorization","3791975","","27171","20180304175755"
"475","Ethnopluralism","3808132","","5011","20180318072807"
"476","Nomadic_pastoralism","3819214","","19320","20180321173453"
"477","Real_time_(media)","3829597","","10045","20180305003502"
"478","Túath","3834447","","4767","20180228131250"
"479","Safir_(Arthurian_legend)","3839154","","1771","20180117115119"
"480","Hypergymnasia","3858211","","5510","20180217150914"
"481","List_of_cultural_references_to_the_September_11_attacks","3867877","","58621","20180324225910"
"482","Dual_inheritance_theory","3869283","","72359","20180228131315"
"483","Palm_court","3880295","","876","20180228131325"
"484","Human_rights_education","3901818","","34429","20180316141621"
"485","Recognition_of_prior_learning","3924102","","10016","20180307002807"
"486","Indigenous_language","3993568","","12842","20180314133413"
"487","The_Closed_Circle:_An_Interpretation_of_the_Arabs","4009179","","1845","20180228131450"
"488","Generation_Z","4015968","","53681","20180325050533"
"489","Dark_culture","4083681","","3369","20180307031238"
"490","Metanoia_(rhetoric)","4088298","","2860","20180314133414"
"491","Value_(ethics)","4095924","","27423","20180325061408"
"492","Italian_Cultural_Institute,_London","4108384","","1408","20180324171627"
"493","Interstitial_art","4137340","","7981","20180324183220"
"494","Cultural_environmentalism","4145596","","1405","20180205075059"
"495","History_of_mentalities","4170165","","8284","20180314054445"
"496","Jamal_Watson","4176073","","2843","20180303192358"
"497","World_Conference_against_Racism_2001","4205520","","40583","20180303192358"
"498","The_Encyclopaedia_Sinica","4245811","","1474","20180316141632"
"499","Hereditary_witch","4263097","","1170","20180322102400"
"500","Glass_house_effect","4263254","","1346","20180228131754"
"501","Calabar_International_Conference_on_African_Literature_and_the_English_Language","4263614","","1462","20180213203707"
"502","Sudanese_Encyclopedia_of_Tribes_and_Genealogies","4301018","","3489","20180316141633"
"503","Doors_Open_Days","4318918","","6290","20180314002901"
"504","Voice_of_Fire","4351717","","6467","20180312123431"
"505","Charlie_Noble","4361857","","660","20180101055919"
"506","List_of_works_set_in_a_single_day","4366760","","1945","20180228131904"
"507","Vichy_shower","4439609","","513","20180217151033"
"508","Cultural_institution","4442271","","705","20180316135636"
"509","Vignette_(literature)","4444344","","4253","20180228132001"
"510","Welcommittee","4502049","","1449","20180228132040"
"511","Cultural_intelligence","4543340","","18659","20180228132109"
"512","Juramentado","4561407","","39465","20180314002903"
"513","Tangible_culture","4574795","","292","20180228132131"
"514","Scotlandshire","4606890","","2146","20180213203717"
"515","Eight_Beatitudes","4620650","","121","20180320103340"
"516","Rhetorical_modes","4644634","","5895","20180228132219"
"517","Portrait_(literature)","4692651","","1157","20180303031300"
"518","Consumer_capitalism","4740024","","7210","20180317035551"
"519","Para_(Bengali)","4746995","","1057","20180314133420"
"520","Narrative_hook","4751502","","4411","20180311054435"
"521","Lipstick_feminism","4751657","","6251","20180319182026"
"522","Straw_dog","4777317","","1842","20180318105144"
"523","Cloud_swing","4790902","","1450","20180322102400"
